##,###,S,C,A,L,E,S,!,S,C,A,L,E,S,!,S,C,A,L,E,S
132,132,0.06,0.212,0.305,0.475,0.627,0.797,0.89,1.06,1.212,1.305,1.475,1.627,1.797,1.89,2.06,2.212,2.305,2.475,2.627,2.797
133,133,0.06,0.212,0.305,0.475,0.627,0.797,0.89,1.06,1.212,1.305,1.475,1.627,1.797,1.89,2.06,2.212,2.305,2.475,2.627,2.797
134,134,0.06,0.212,0.382,0.475,0.627,0.797,0.89,1.06,1.212,1.382,1.475,1.627,1.797,1.89,2.06,2.212,2.382,2.475,2.627,2.797
135,135,0.06,0.212,0.382,0.475,0.627,0.797,0.89,1.06,1.212,1.382,1.475,1.627,1.797,1.89,2.06,2.212,2.382,2.475,2.627,2.797
136,136,0.06,0.212,0.382,0.475,0.645,0.797,0.89,1.06,1.212,1.382,1.475,1.645,1.797,1.89,2.06,2.212,2.382,2.475,2.645,2.797
137,137,0.06,0.212,0.382,0.475,0.645,0.797,0.89,1.06,1.212,1.382,1.475,1.645,1.797,1.89,2.06,2.212,2.382,2.475,2.645,2.797
138,138,0.06,0.212,0.382,0.475,0.645,0.797,0.967,1.06,1.212,1.382,1.475,1.645,1.797,1.967,2.06,2.212,2.382,2.475,2.645,2.797
139,139,0.06,0.212,0.382,0.475,0.645,0.797,0.967,1.06,1.212,1.382,1.475,1.645,1.797,1.967,2.06,2.212,2.382,2.475,2.645,2.797
140,140,0.06,0.23,0.382,0.475,0.645,0.797,0.967,1.06,1.23,1.382,1.475,1.645,1.797,1.967,2.06,2.23,2.382,2.475,2.645,2.797
141,141,0.06,0.23,0.382,0.475,0.645,0.797,0.967,1.06,1.23,1.382,1.475,1.645,1.797,1.967,2.06,2.23,2.382,2.475,2.645,2.797
142,142,0.06,0.23,0.382,0.552,0.645,0.797,0.967,1.06,1.23,1.382,1.552,1.645,1.797,1.967,2.06,2.23,2.382,2.552,2.645,2.797
143,143,0.06,0.23,0.382,0.552,0.645,0.797,0.967,1.06,1.23,1.382,1.552,1.645,1.797,1.967,2.06,2.23,2.382,2.552,2.645,2.797
144,144,0.06,0.23,0.382,0.552,0.645,0.815,0.967,1.06,1.23,1.382,1.552,1.645,1.815,1.967,2.06,2.23,2.382,2.552,2.645,2.815
145,145,0.06,0.23,0.382,0.552,0.645,0.815,0.967,1.06,1.23,1.382,1.552,1.645,1.815,1.967,2.06,2.23,2.382,2.552,2.645,2.815
146,146,0.137,0.23,0.382,0.552,0.645,0.815,0.967,1.137,1.23,1.382,1.552,1.645,1.815,1.967,2.137,2.23,2.382,2.552,2.645,2.815
147,147,0.137,0.23,0.382,0.552,0.645,0.815,0.967,1.137,1.23,1.382,1.552,1.645,1.815,1.967,2.137,2.23,2.382,2.552,2.645,2.815
148,148,0.137,0.23,0.4,0.552,0.645,0.815,0.967,1.137,1.23,1.4,1.552,1.645,1.815,1.967,2.137,2.23,2.4,2.552,2.645,2.815
149,149,0.137,0.23,0.4,0.552,0.645,0.815,0.967,1.137,1.23,1.4,1.552,1.645,1.815,1.967,2.137,2.23,2.4,2.552,2.645,2.815
150,150,0.137,0.23,0.4,0.552,0.722,0.815,0.967,1.137,1.23,1.4,1.552,1.722,1.815,1.967,2.137,2.23,2.4,2.552,2.722,2.815
151,151,0.137,0.23,0.4,0.552,0.722,0.815,0.967,1.137,1.23,1.4,1.552,1.722,1.815,1.967,2.137,2.23,2.4,2.552,2.722,2.815
152,152,0.137,0.23,0.4,0.552,0.722,0.815,0.985,1.137,1.23,1.4,1.552,1.722,1.815,1.985,2.137,2.23,2.4,2.552,2.722,2.815
153,153,0.137,0.23,0.4,0.552,0.722,0.815,0.985,1.137,1.23,1.4,1.552,1.722,1.815,1.985,2.137,2.23,2.4,2.552,2.722,2.815
154,154,0.137,0.307,0.4,0.552,0.722,0.815,0.985,1.137,1.307,1.4,1.552,1.722,1.815,1.985,2.137,2.307,2.4,2.552,2.722,2.815
155,155,0.137,0.307,0.4,0.552,0.722,0.815,0.985,1.137,1.307,1.4,1.552,1.722,1.815,1.985,2.137,2.307,2.4,2.552,2.722,2.815
156,156,0.137,0.307,0.4,0.57,0.722,0.815,0.985,1.137,1.307,1.4,1.57,1.722,1.815,1.985,2.137,2.307,2.4,2.57,2.722,2.815
157,157,0.137,0.307,0.4,0.57,0.722,0.815,0.985,1.137,1.307,1.4,1.57,1.722,1.815,1.985,2.137,2.307,2.4,2.57,2.722,2.815
158,158,0.137,0.307,0.4,0.57,0.722,0.892,0.985,1.137,1.307,1.4,1.57,1.722,1.892,1.985,2.137,2.307,2.4,2.57,2.722,2.892
159,159,0.137,0.307,0.4,0.57,0.722,0.892,0.985,1.137,1.307,1.4,1.57,1.722,1.892,1.985,2.137,2.307,2.4,2.57,2.722,2.892
160,160,0.155,0.307,0.4,0.57,0.722,0.892,0.985,1.155,1.307,1.4,1.57,1.722,1.892,1.985,2.155,2.307,2.4,2.57,2.722,2.892
161,161,0.155,0.307,0.4,0.57,0.722,0.892,0.985,1.155,1.307,1.4,1.57,1.722,1.892,1.985,2.155,2.307,2.4,2.57,2.722,2.892
162,162,0.155,0.307,0.477,0.57,0.722,0.892,0.985,1.155,1.307,1.477,1.57,1.722,1.892,1.985,2.155,2.307,2.477,2.57,2.722,2.892
